date,country,operator,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground
1945-11-01 15:30:00,Germany,U.S. Army Air Forces,Douglas C-47A-DK,30.0,26.0,4.0,26.0,22.0,4.0,0.0
1945-11-03 02:00:00,India,U.S. Army Air Forces,Douglas C-54G,44.0,40.0,4.0,44.0,40.0,4.0,0.0
1945-11-07 11:15:00,New Mexico,National Skyway Freight Co.,Budd RB-1 Conestoga,3.0,0.0,3.0,1.0,0.0,1.0,0.0
1945-11-08 20:00:00,Texas,U.S. Navy,Martin PBM-3S  / Martin PBM-5,27.0,23.0,4.0,22.0,18.0,4.0,0.0
1945-11-09 20:00:00,Italy,U.S. Army Air Forces,Douglas C-47A-DL,24.0,20.0,4.0,24.0,20.0,4.0,0.0
1945-11-11 12:00:00,Italy,U.S. Army Air Forces,Boeing B-17G,20.0,16.0,4.0,20.0,16.0,4.0,0.0
1945-11-11 00:00:00,Himalayas,U.S. Army,Douglas C-54,44.0,38.0,6.0,44.0,37.0,7.0,0.0
1945-11-11 23:45:00,Libya,Military -Royal Air Force,Short Stirling,29.0,22.0,7.0,29.0,22.0,7.0,0.0
1945-11-13 20:15:00,Philippines,Australian National Airways,Douglas C-48,17.0,14.0,3.0,16.0,13.0,3.0,0.0
1945-11-15 09:14:00,Near Jacquinot Bay  New Guinea,Royal Australian Air Force,Douglas C-47 Dakota-DK,28.0,25.0,3.0,28.0,25.0,3.0,0.0
1945-11-22 10:00:00,England,Military -Royal Air Force,Consolidated LB-30A Liberator,27.0,22.0,5.0,27.0,22.0,5.0,0.0
1945-12-03 13:30:00,France,Military -Royal Air Force,Consolidated LB-30A Liberator,28.0,23.0,5.0,28.0,23.0,5.0,0.0
1945-12-05 20:00:00,Off the Florida coast,U.S. Navy,Five Grumman TBM Avengers,14.0,0.0,14.0,14.0,0.0,14.0,0.0
1945-12-05 19:50:00,Bahamas,U.S. Navy,Martin PBM Mariner,13.0,0.0,13.0,13.0,0.0,13.0,0.0
1945-12-08 01:13:00,Montana,U.S. Army,Douglas C-47,21.0,19.0,2.0,17.0,15.0,2.0,0.0
1945-12-18 10:10:00,Norway,Royal Air Force,Douglas C-47B,17.0,13.0,4.0,17.0,13.0,4.0,0.0
1945-12-25 19:30:00,French Equatorial Africa,Air France,Lockheed 18 Lodestar,8.0,5.0,3.0,8.0,5.0,3.0,0.0
1945-12-25 00:00:00,Russia,Polyarnya Aviatsiya,Douglas DC-3,10.0,6.0,4.0,10.0,6.0,4.0,0.0
1945-12-30 21:13:00,New York,Eastern Air Lines,Douglas DC-3,12.0,9.0,3.0,1.0,1.0,0.0,0.0
1946-01-06 03:59:00,Alabama,Pennsylvania Central Airlines,Douglas DC-3,11.0,7.0,4.0,3.0,0.0,3.0,0.0
1946-01-09 00:00:00,China,Chinese Air Force,Douglas C-47,18.0,15.0,3.0,18.0,15.0,3.0,0.0
1946-01-14 00:00:00,Russia,Aeroflot,Lisunov Li-2,22.0,17.0,5.0,22.0,17.0,5.0,0.0
1946-01-15 18:25:00,France,Military -Royal Air Force,Douglas C-47 Dakota,25.0,21.0,4.0,23.0,19.0,4.0,0.0
1946-01-18 11:03:00,Connecticut,Eastern Air Lines,Douglas DC-3-201E,17.0,14.0,3.0,17.0,14.0,3.0,0.0
1946-01-19 00:00:00,Canada,Royal Canadian Air Force,Douglas DC-3 Dakota,7.0,0.0,7.0,7.0,0.0,7.0,0.0
1946-01-30 00:00:00,France,Royal Air Force,Douglas C-47B,11.0,9.0,2.0,11.0,9.0,2.0,0.0
1946-01-31 02:47:00,Wyoming,United Air Lines,Douglas DC-3-194H,21.0,18.0,3.0,21.0,18.0,3.0,0.0
1946-02-05 00:00:00,Philippines,U.S. Army Air Forces,Douglas C-47,20.0,16.0,4.0,20.0,16.0,4.0,0.0
1946-02-21 00:00:00,Canada,British Overseas Airways,Consolidated 32-2 Liberator II,14.0,12.0,2.0,1.0,1.0,0.0,0.0
1946-03-03 08:12:00,California,American Airlines,Douglas DC-3-227B,27.0,24.0,3.0,27.0,24.0,3.0,0.0
1946-03-05 17:00:00,Czechoslovakia,Ceskoslovenske Aerolinie,Junkers JU-52/3m,15.0,11.0,4.0,12.0,10.0,2.0,0.0
1946-03-10 20:55:00,Tasmania,Australian National Airways,Douglas DC-3 (C-47DL),25.0,21.0,4.0,25.0,21.0,4.0,0.0
1946-03-17 00:00:00,China,Chinese Air Force,unknown,20.0,17.0,3.0,20.0,17.0,3.0,0.0
1946-03-18 00:00:00,China,China National Aviation Corporation,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1946-03-19 11:45:00,California,U.S. Army Air Forces,Douglas C-47B,26.0,23.0,3.0,26.0,23.0,3.0,0.0
1946-03-23 00:00:00,Indian Ocean,British Overseas Airways /Qantas,Avro 691 Lancastrian 1,10.0,5.0,5.0,10.0,5.0,5.0,0.0
1946-04-01 10:00:00,Northern Ireland,Railway Air Services Ltd.,de Hvilland 89A Dragon Rapide,6.0,4.0,2.0,6.0,4.0,2.0,0.0
1946-04-05 11:15:00,Malta,Royal British Navy,Vickers Wellington bomber,4.0,0.0,4.0,4.0,0.0,4.0,16.0
1946-04-08 00:00:00,China,unknown,unknown,14.0,11.0,3.0,14.0,11.0,3.0,0.0
1946-04-22 00:00:00,Nicaragua,TACA,Lockheed 14 Super Electra,21.0,18.0,3.0,20.0,17.0,3.0,0.0
1946-04-30 00:00:00,"Pindi-Khut ,India",Royal Air Force,Douglas C-47A,12.0,10.0,2.0,12.0,10.0,2.0,0.0
1946-05-10 00:00:00,Florida,U.S. Navy,PBY4-2 Privateer / PB4Y-2 Privateer,28.0,24.0,4.0,28.0,24.0,4.0,0.0
1946-05-16 01:00:00,Virginia,Viking Air Transport,Douglas DC-3,27.0,25.0,2.0,27.0,25.0,2.0,0.0
1946-05-22 13:00:00,Norway,DNL Norwegian Air Lines,Junkers JU-52/3m,14.0,11.0,3.0,13.0,10.0,3.0,0.0
1946-06-01 07:40:00,Italy,U.S. Army Air Forces,Douglas C-54-DO (DC-4),38.0,30.0,8.0,30.0,26.0,4.0,0.0
